"title","rating","image","ratingCount","releaseDate","genres"
"Joker (2019)","8.5","https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","858,888","4 October 2019 (USA)","[""Crime"",""Drama"",""Thriller""]"
"Avengers: Endgame (2019)","8.4","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","757,164","26 April 2019 (USA)","[""Action"",""Adventure"",""Drama""]"
